dataset,held_out,seed,shift_balacc,seen_balacc,shift_ECE,seen_ECE,shift_Brier,shift_cov_marg,shift_cov_bal,seen_cov_marg,shift_setsize,shift_AURC,seen_AURC,set_empty,set_normal_only,set_attack_only,set_both
UAV-NIDD,BruteForce,0,0.9991454305200552,0.999164307128581,0.0003002999620096084,6.377202427109243e-05,0.00017423571922764471,0.9844069147611219,0.507796200756477,0.9183384470143969,0.9844069147611219,5.7101985208630054e-08,1.3067840038081354e-08,0.015593085238878096,0.000215878709377439,0.9841910360517445,0.0
UAV-NIDD,De-authentication,0,0.9991789819376027,0.9991776315789473,0.0002584717123658837,1.0375988037794387e-05,8.857291996064441e-05,0.8686577905721482,0.4877753081430592,0.9151737491083257,0.8686577905721482,3.237150680688153e-08,4.569759453144784e-09,0.13134220942785174,0.0,0.8686577905721482,0.0
UAV-NIDD,DDoS,1,0.9950999059170698,0.9991501258027343,0.02399362706581502,4.651217306033607e-05,0.01066085460367902,0.05462801786119731,0.028381516717982804,0.919895033005086,0.05462801786119731,0.00015117844136614287,1.1711169006814419e-08,0.9453719821388027,1.513660788617271e-05,0.05461288125331113,0.0
UAV-NIDD,UDP Flooding,1,0.9957307726882885,0.9991648418925505,0.0030579705218522824,5.737900436631726e-05,0.003356324978281109,0.46718854415274463,0.24039918295967067,0.9145634980605511,0.46718854415274463,2.3571092070412047e-05,8.248004258575472e-09,0.5328114558472554,9.546539379474941e-05,0.4670930787589499,0.0
UAV-NIDD,MITM,1,0.9990070673441972,0.9991776315789473,0.002589475847266989,2.6124258037296553e-05,0.00160385546457594,0.724236127145386,0.3696567529730675,0.9142598597390845,0.724236127145386,1.1126771629259781e-05,1.1375493688643996e-08,0.275763872854614,7.696451935657662e-05,0.7241591626260294,0.0
UAV-NIDD,Jamming,1,0.9797356596754323,0.9991669084083202,0.04073716577208768,4.2340586170142025e-05,0.03724174559516451,0.5354641278476708,0.2792990919409762,0.9129900923024812,0.5354641278476708,0.0023741286640024937,8.516897529773549e-09,0.46453587215232917,0.0,0.5354641278476708,0.0
UAV-NIDD,BruteForce,1,0.9991454305200552,0.9991509826782146,0.00026198600570831335,5.167962381103524e-05,0.0001508778452087091,0.9850877629983892,0.5048895819542957,0.9167650066871214,0.9850877629983892,6.013748304845277e-08,1.5131097785661568e-08,0.014912237001610788,0.00014945449110745777,0.9849383085072817,0.0
UAV-NIDD,De-authentication,1,0.9991789819376027,0.9991673131523011,0.00017992083471030096,4.07622540328223e-05,0.00017992083459430472,0.8686577905721482,0.4877753081430592,0.9135432589422195,0.8686577905721482,3.237150680688153e-08,5.400480855685262e-09,0.13134220942785174,0.0,0.8686577905721482,0.0
UAV-NIDD,DDoS,2,0.9942483329781141,0.9999862471118934,0.009540045861845902,2.726517730069433e-05,0.005766695963851418,0.0003330053734957996,0.0180623973727422,0.9191916459257656,0.0003330053734957996,0.00011167932148662328,2.927653619680461e-09,0.9996669946265042,0.0003330053734957996,0.0,0.0
UAV-NIDD,UDP Flooding,2,0.9983579638752053,0.9999872103136032,0.0021399954434910586,6.064040807621294e-05,0.00046851822999893674,0.43776610978520286,0.22145809991113857,0.9139086192131379,0.43776610978520286,4.952264017710714e-07,3.1722478601235573e-09,0.5622338902147971,0.0,0.43776610978520286,0.0
