model,dataset,held_out,seed,shift_balacc,shift_ECE,shift_cov_marg,shift_cov_bal,seen_cov_marg
RandomForest,UAV-NIDD,Jamming,3,0.749228477173566,0.33272240359110355,0.03856355845745766,0.4666666666666667,0.9960942461577543
RandomForest,UAV-NIDD,Jamming,4,0.973895530094317,0.14897687023579664,0.03672719853091206,0.4444444444444444,0.9953003937507938
RandomForest,UAV-NIDD,BruteForce,0,0.9942077205539712,0.12986536305891144,0.5482625482625483,0.7486116547683399,0.9955947136563876
RandomForest,UAV-NIDD,BruteForce,1,0.9972430365275526,0.10822755013077606,0.5481878191555611,0.7497958955432533,0.9961453744493393
RandomForest,UAV-NIDD,BruteForce,2,0.998427277302466,0.05311309004857385,0.6634450118321086,0.8031238544365537,0.9966960352422908
RandomForest,UAV-NIDD,BruteForce,3,0.9971942627075994,0.0899722256819031,0.5457964877319716,0.7449220861525845,0.9957127123977344
RandomForest,UAV-NIDD,BruteForce,4,0.9946747997788091,0.10363432556980946,0.5438784406526342,0.7402873306119406,0.9962633731906859
RandomForest,UAV-NIDD,De-authentication,0,0.9962962962962962,0.029114470842332513,0.3615010799136069,0.6090678432297105,0.9960564930300807
RandomForest,UAV-NIDD,De-authentication,1,0.9987654320987654,0.03840307775377984,0.36312095032397407,0.6110602165265194,0.9945585717779408
RandomForest,UAV-NIDD,De-authentication,2,0.9987654320987654,0.0307505399568037,0.3596112311015119,0.6058409020316669,0.9957507948153583
RandomForest,UAV-NIDD,De-authentication,3,1.0,0.025631749460043013,0.3623110151187905,0.6095225264670552,0.9956896551724138
RandomForest,UAV-NIDD,De-authentication,4,0.9975308641975309,0.025963822894168324,0.3615010799136069,0.6079848364075908,0.9962093421374419
MLP,UAV-NIDD,DDoS,0,0.9913351088840341,0.048411031002011926,0.0,0.0,0.9129640900791236
MLP,UAV-NIDD,DDoS,1,0.9876543209876543,0.03738101917397184,0.0,0.0,0.9136133089876243
MLP,UAV-NIDD,DDoS,2,0.9913351088840341,0.0362629378624917,0.0,0.0,0.916047879894502
MLP,UAV-NIDD,DDoS,3,0.9876543209876543,0.020582762728912785,0.0,0.0,0.9158449989855955
MLP,UAV-NIDD,DDoS,4,0.9814585656741576,0.028034700197730713,0.0,0.0,0.9110164333536214
MLP,UAV-NIDD,UDP Flooding,0,0.991358024691358,5.5582795968844856e-05,0.9883144780180438,0.49995653433787307,0.9153381186248584
MLP,UAV-NIDD,UDP Flooding,1,0.9876543209876543,0.00014319159929412,0.9884004009737934,0.5,0.9139025311673593
MLP,UAV-NIDD,UDP Flooding,2,0.991358024691358,0.0011629076893973943,0.9882285550622941,0.49991306867574614,0.9157914620324896
MLP,UAV-NIDD,UDP Flooding,3,0.9876543209876543,0.0002575036473988486,0.9884004009737934,0.5,0.913826973932754
MLP,UAV-NIDD,UDP Flooding,4,0.9814814814814814,0.002570250971966006,0.9884004009737934,0.5,0.9161314695882131
MLP,UAV-NIDD,MITM,0,0.9722016713284747,0.04258146167241342,0.3880278234767801,0.20728832038627026,0.9162236549409946
